scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (10 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (15Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF ULIS (5 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,6.002,1.15,2.782,1.762,3.216,-0.628,4.42,-0.498,-2.012,5.277,-0.87,3.475,1.153,-2.512,-2.491,5.01,-1.523,-1.616,4.145,3.958,-6.998,-0.684,3.444,1.772,-3.007,-1.037,6.241,LIC MF ULIS (5 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,3.027,-0.215,-5.957,2.328,6.001,2.44,1.382,1.556,0.891,-2.361,-23.347,10.779,2.479,4.582,3.517,5.75,0.155,1.379,9.898,5.747,0.457,2.84,0.849,0.648,3.269,3.171,2.683,5.864,1.972,1.697,-2.128,1.755,-0.595,-2.43,4.129,-3.32,-2.978,-3.568
LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,5.915,1.062,2.668,1.669,3.106,-0.733,4.309,-0.613,-2.118,5.161,-0.964,3.377,1.068,-2.586,-2.57,4.918,-1.622,-1.724,4.025,3.836,-7.099,-0.768,3.353,1.696,-3.089,-1.117,6.148,-0.08,2.944,-0.293,-6.037,2.247,5.918,2.349,1.447,1.468,0.812,-2.402,-23.383,10.722,2.423,4.518,3.422,5.656,0.061,1.291,9.8,5.65,0.402,2.784,0.791,0.589,3.209,3.112,2.624,5.792,1.897,1.622,-2.203,1.672,-0.668,-2.501,4.044,-3.393,-3.053,-3.632
LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,-7.889,0.158,0.015,-0.087,0.065,0.048,0.021,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW,LIC MF Liquid Fund-Direct Plan-Daily IDCW
LIC MF Liquid Fund-Direct Plan-Growth,0.564,0.509,0.557,0.519,0.558,0.543,0.565,0.55,0.533,0.546,0.524,0.552,0.558,0.514,0.68,0.567,0.587,0.626,0.627,0.608,0.575,0.624,0.63,0.636,0.611,0.538,0.655,0.574,0.617,0.55,0.552,0.515,0.467,0.492,0.44,0.437,0.444,0.423,0.649,0.41,0.421,0.348,0.278,0.288,0.268,0.282,0.259,0.263,0.259,0.26,0.291,0.268,0.276,0.282,0.286,0.302,0.258,0.255,0.309,0.299,0.296,0.277,0.316,0.296,0.316,0.39
LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,-8.925,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,0.009,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW,LIC MF Liquid Fund-Regular Plan-Daily IDCW
LIC MF Liquid Fund-Regular Plan-Growth,0.552,0.498,0.545,0.508,0.546,0.531,0.554,0.538,0.522,0.534,0.513,0.54,0.546,0.503,0.668,0.556,0.575,0.615,0.615,0.596,0.563,0.612,0.618,0.624,0.599,0.527,0.643,0.563,0.605,0.539,0.54,0.503,0.456,0.48,0.434,0.425,0.432,0.412,0.637,0.398,0.409,0.336,0.266,0.276,0.256,0.271,0.248,0.251,0.248,0.249,0.279,0.257,0.264,0.27,0.274,0.29,0.247,0.243,0.297,0.287,0.284,0.267,0.304,0.285,0.304,0.379
